###PLEASE READ
#This file contains mean gene expression values for every gene in every cell type of Drosophila melanogaster Ral517, as published in Witt et al. 2019. It is important to note that for most genes you are likely to observe a drop-off in expression in late spermatocytes, early spermatids, and late spermatids due to global post-meiotic down-regulation of gene expression.  Be careful not to over-interpret such events unless your #gene of interest deviates from global expression trends. 
#


"RNA.Early.spermatids" "RNA.Late.spermatocytes" "RNA.Early.spermatocytes" "RNA.Hub.cells" "RNA.Cyst" "RNA.Late.spermatogonia" "RNA.GSC..Early.spermatogonia" "RNA.Epithelial.cells" "RNA.Late.spermatids"
"lft" 0.000990425654242998 0.00505285072311996 0.00574930175380415 0 0.00498923211797387 0.00112060826616688 0.00764414543091499 0.00773423916742462 0
"CG5056" 1.45739353944487 2.58365101097114 2.69373356599273 2.25744313341088 2.51572389995064 2.41852284026216 2.08028587673453 1.41427017755129 0.597738667139815
"rho-5" 0.00122843407209311 0.000549126125173908 0.00301313514126803 0.00360865962833693 0.00526256084064886 0.00718036845167966 0.0216768649898277 0.0801213668168717 0.00602620555748729
"CG4415" 0.0611465570238855 0.0425700446541474 0.0367469096058638 0.0925929888380387 0.138667831632536 0.663159323846058 4.39492997390476 0.0477416744129095 0.0155673013333053
"CG33303" 0.405065982179661 0.388170580058776 0.4837421883292 0.682392422773253 0.881789049287506 1.43266751155515 2.08771435242338 0.608299541713169 0.362820011284395
"dpr19" 0.0555304855619899 0.0375132808164717 0.0407126411657514 0.0582583738729897 0.0625146413294684 0.114366061102318 0.145367632102601 0.0153109307124933 0.0202953189833488
"gny" 0.0293676757175631 0.0337859189681571 0.0497008820276991 0.115418738172705 0.261084527747807 0.558059159314194 0.51196267246294 0.0718155856694713 0.0330103221368221
"CG5096" 0.00524098022344265 0.00595576672499933 0.00544241138786441 0.00884204419191598 0.0112569106773613 0.0214878844885607 0.0270124516551889 0.00680922459274028 0
"Cdk1" 0.0583422206692319 0.0565767903760591 0.111380033524952 0.286975337111669 0.550081213241579 1.48413512839172 2.92857777376051 0.136782495342978 0.0581316840586913
"mRpS7" 1.17502932440624 1.24289629291448 1.37990765131822 1.45449538949139 1.77911915131445 2.45280776943742 2.83345737319802 0.985937756255694 0.575492995187003
"da" 0.120948017777764 0.136945366563018 0.128389748503573 0.27273381750183 0.253853585333138 0.504966354931606 0.660837458624513 0.153056775066863 0.120381320230593
"Mdh1" 0.0235440471934853 0.0259351821086234 0.0248654954988049 0.0899402006801502 0.118897923933017 0.272087328986262 0.762229838580404 1.50178137909054 0.0502325079145676
"Nhe1" 0.17409188557974 0.195288604340268 0.229853089844729 0.254279120808878 0.25553921617264 0.180302745243486 0.191556587315619 0.185538540826795 0.0660560190833969
"Cnot4" 0.226490780100129 0.222719072214762 0.211017144060435 0.282376637738526 0.183505721400284 0.13491283972234 0.181067001718357 0.250014094905093 0.117603666042572
"Ir31a" 0 0.00116258161416173 0.000575117785409954 0 0.00156914468861571 0.002329410419174 0.00190320345302009 0 0
"RpS27A" 0.286422026675685 0.228313629781356 0.243860669074885 1.59275543168134 2.51513015870608 11.8779663258277 25.5370356291775 13.8960911148835 0.516090062072057
"Ip259" 0.157900103305157 0.127495410945571 0.139344921529543 0.278119295771831 0.272021913046971 0.916087098587328 1.87265745496901 0.365129107276873 0.100576806805052
"CG5355" 0.434087399925085 0.404392239569681 0.386147272402393 0.509434112325723 0.420353804102923 0.628666985486927 1.12513382940532 0.310992438805324 0.31744264783389
"Klp31E" 0.0879694749333533 0.0837448051243237 0.0762996990377694 0.0614043741294233 0.0660291490435499 0.0758674449593185 0.0732195379246709 0.0696315925569061 0.080256730924961
"RfC3" 0.076078044569451 0.0741470043481523 0.0928059110133396 0.110188465480344 0.141701330563961 0.237370155661105 0.437528553610135 0.141815764959014 0.0481074819129348
"pie" 0.0132633526072384 0.0125368356662757 0.0343826604627038 0.125712008304598 0.211244645919743 0.496658216374316 0.405464460171172 0.0303341190800587 0.0293085093016954
"CG5168" 0.346145105725457 0.398749200084846 0.545883010155617 0.516861153733739 0.799673117394009 1.45712973310453 2.42859008204221 0.559873757040435 0.242250463751266
"SmB" 0.0184739786349871 0.0229726804042428 0.0264787556394539 0.0527619736829585 0.0898230185460224 0.395911358607474 2.59198384288206 0.343076793186659 0.00534098447162175
"KdelR" 0.713039260059699 0.746614309196667 1.01423835833126 1.38672050483821 2.38393694192536 3.1981918586574 3.6765293728396 1.20507395031405 0.502224632655061
"CG5188" 0.025849846230006 0.0306656861225868 0.0334062760537349 0.0743532119391451 0.0771455749375409 0.177015258151133 0.297018196881345 0.0398362112799755 0.0122841947213769
"Bug22" 4.7715059033403 4.64270048928072 4.88551329752705 4.40500747635274 4.78416241297439 4.49651186550496 3.84639566505874 3.70037164809198 4.43134244531102
"TfIIB" 0.191049800591632 0.218024069615612 0.61622209687529 1.01213487380358 1.89595246943819 3.29697491226888 3.13969720816512 0.34370074525751 0.184132527055076
"TBC1D16" 0.00941002701341221 0.00448739370750156 0.00698051335350645 0.0130498972434953 0.00712394103060813 0.0145598745004732 0.0100811887283703 0.0104784567326426 0
"holn1" 0.0321013280474528 0.0280804360917547 0.0500996230227801 0.229357811593346 0.456406839687505 1.18209466598972 1.67360534593503 0.0932242885211427 0.00942818322330778
"STUB1" 0.477269484246609 0.468570337993506 0.547374468218302 0.567254463580033 0.862856666428428 1.44299215745564 1.86169792748642 0.407105306797178 0.29846589359621
"Nse4" 0.0518265595272757 0.0293435213856608 0.0709105393828652 0.214810654697276 0.529886321792137 1.41259984054332 1.63987789167439 0.0814125753942217 0.0434344213003602
"CR45375" 0.0191934465148137 0.0131805109169053 0.0129754347087216 0.0162818655837535 0.0176922658692263 0.0160771918381874 0.0176529174934426 0.0019120722018018 0.010386373078521
"loh" 0.0133746655263301 0.00827057809126436 0.00933546083786589 0.00602772043122839 0.0106345127133015 0.0134528558277546 0.0235354444858526 0.000730970427567994 0
"ppk10" 0.191987857072639 0.275324024313597 0.352405328789271 0.651025358074303 0.9675969249193 1.3918325550604 0.784209808060433 0.158903588860249 0.0527064845218004
"LManI" 0 0 0.000856412199373169 0 0.00206353018043316 0.00411123025216999 0 0.0615915707813688 0
"LManII" 0.00247340040205711 0.00201931479314407 0.0028639140628415 0 0.00256601238229363 0.00608502060070038 0.0121893246749428 0.38371470208353 0
"RluA-1" 0.00279815029245531 0.000851714388178333 0.0010984054215545 0 0.000980423147778817 0.00250107772005131 0.00159183908671734 0.0475612396088733 0
"RluA-2" 0.00116050814009422 0 0.000343307096517478 0 0.00166439011888433 0.00199454426432876 0.00825221751472859 0.00584959520801161 0
"Grip75" 0.117007459505344 0.177586351618685 0.24833989890931 0.248363582307471 0.252203838839067 0.304851796007494 0.361763170526297 0.0856347081606934 0.0660426653099438
"CG7456" 0.0217305901393216 0.0293210198223379 0.0595406599860663 0.111762297237343 0.128081721632856 0.175750900195374 0.402560476216835 0.111083313053631 0.0156704378883055
"CG6144" 0.0847749498895825 0.0926336011768036 0.103743885322568 0.138836996745891 0.223754241796008 0.537614638049094 0.833142452948468 0.0936889675470929 0.0445167982436261
"CG13144" 0.0380357977418702 0.0354892143488886 0.0467193243820404 0.0384593929904144 0.0305412196867943 0.00998794316179571 0.00541503930093015 0.0201955454196392 0.0520201968866641
"Myo31DF" 0.0301940510170342 0.0386143066297312 0.0676974907511967 0.075270162313511 0.120702161002105 0.107249290083426 0.0511771345068852 0.127738778169787 0.0258685020570411
"S" 0.307331052690874 0.3250870770576 0.336911015182248 0.412885967275411 0.431530451171616 0.623616334264715 0.695572203006085 0.291747209688715 0.21931411543161
"CR44224" 0.0363180650868854 0.0299408327967776 0.0993319655425605 0.128714321030192 0.280585973526567 0.22282035373035 0.0405261843593408 0.0491835463005028 0.0216076019416013
"CG6094" 1.17978655682337 1.20854792931137 1.23328698728889 1.32131094758066 1.54288451414112 2.23894461499508 3.05535333547405 0.860410578846777 0.991465611029414
"CG7384" 0.0018127243244177 0.00394830777059438 0.00318284864119977 0.00232403024028149 0.00740922337354637 0.00489324191367706 0.00661409458854809 0.0144121336547902 0.00330730812569226
"Fatp" 0.00723189462545659 0.00408170081922959 0.00527069562544561 0.00926436134468045 0.0144481843933353 0.029418027658817 0.0640494198908193 0.179425185277985 0.020329576240846
"Lrr47" 0.0454848704929225 0.050865404552333 0.0643181646284176 0.21456716296088 0.377716615303047 0.844138054011579 0.878738471158112 0.0487873838104674 0.00727757791295858
"Lip4" 0.00122734972115228 0 0.000172269294807028 0 0.000636059902582513 0.00305193021415471 0.00167298385369823 0.00992693494873718 0
"CG18301" 0.00369329647358467 0.00211746985131259 0.00220058655519269 0 0.00565993250306901 0.00106980075495839 0 0 0
"CG18302" 0 0.00212671959642285 0.0033681975834781 0.00401209231999219 0.00423704394619259 0.00637949891781591 0.00392523353212922 0 0.00162459955651681
"CR44618" 0 0 0.00028394240999475 0 0.00129838138366842 0 0 0 0
"Trim9" 0.0580670529816147 0.0496109014913872 0.0327853550675263 0.0390076999587431 0.035604234404997 0.0225229009062031 0.00757508920629348 0.10829343023777 0.0354692141312191
"CG6138" 5.54822520893542 5.36564901848124 4.67380234252497 4.38405096252843 3.94471050810896 3.17894262083155 2.17231047009265 3.98596079403065 4.80887000996767
"w-cup" 2.95357168136748 2.76906383177035 1.97662097975634 2.94535056959469 1.83900735179274 1.34976592315536 0.883658458807861 2.12546881078554 9.14101197422601
"CG34160" 6.23787368652207 5.72057585350568 5.33765911550939 4.63077447511788 4.24179832805481 3.02446244879635 1.82340243079154 4.56690623463406 5.45306109903378
"CG34161" 8.34459526090811 7.79428195948941 6.32311052278856 6.69869279368293 5.29161087433406 3.70225935141054 1.75195403179404 5.34000249131885 7.55200029250893
"CG7329" 0.751487113859578 0.841826285627196 0.979209660958402 0.85548593884575 1.13862242314234 0.801453481670166 0.299092233896866 0.501792817384276 0.581902593464867
"CG31872" 0.003213589886475 0.00513042027316442 0.00446933792582544 0.0102198278898683 0.0121522477486942 0.000996303117651642 0.00500233384047211 0.00159912598170344 0
"CG18284" 0.00593150143453718 0.00419316142198134 0.00645486157569521 0.0126014986889791 0.00528452806975245 0.0034339117812446 0 0.00412304888084725 0.0264934215114782
"CG17097" 0 0.000451405111260075 0 0 0.000369183612789768 0 0 0.00595548631310136 0
"CR44580" 0.0326606771452915 0.0439815375309626 0.0517104432711657 0.0716753172748515 0.0972647875755306 0.0888764008827018 0.0380758276407719 0.0212909259098348 0.0534352262288815
"CG17098" 2.05156613136445 1.90138299331255 1.3412674382941 1.77291615536165 1.18643537445017 1.24542444721561 1.27726667665028 1.36999466394278 2.70654537627872
"CR45692" 0.12774664862547 0.174766660522572 0.193638294047236 0.134414212399154 0.156012252893777 0.0483403635120489 0.00807823421072936 0.113951465616514 0.024760134742318
"CG45690" 0.0887667037426324 0.0611527480012243 0.058098978710772 0.0443898846132137 0.0424086457711012 0.0183248708251029 0.00869053146621935 0.0804470180216399 0.0689508302811795
"CG31871" 0 0.000911867154444186 0.000770032727509669 0 0.00165712618197511 0.00119546169268529 0 0 0
"CG17104" 0.0266844046966121 0.0243992204915738 0.017720608793938 0.0630029117218497 0.0347755191483585 0.0459247323213571 0.0509411227777854 1.57698581629874 0.283726446711693
"CG17107" 0 0.000491564361006903 0.000584221629328539 0 0.000662133405424717 0 0 0 0
"CG7299" 0.0174435016033605 0.0234097521528758 0.0221862915943933 0.0206189666824152 0.0235575602866797 0.0132652599745916 0.00719697316299952 0.00890675698591875 0
"CG7296" 0 0.000289168611325578 0.000343586439318706 0 0.000506577376626134 0.00230870636256386 0 0 0
"Sam-S" 0.0553571441024622 0.0952969560022621 0.190266373871372 0.112064660772263 0.184031879390372 0.162845322921187 0.0848631476974538 0.135192074355294 0.102149406608249
"CG17108" 0.0063717668559139 0 0 0 0.000760352942255921 0 0 0.0781616476635039 0
"CG7300" 0.00245444962970172 0.000945358669200402 0.00152577745679977 0 0.00110910470948299 0.00380061316641169 0.00207748780203037 0 0
"Lip1" 0.0069882656790558 0.00316338327573888 0.007082014818909 0.0216019555715715 0.0052332613753852 0.0115680719578291 0.00753621802158364 0 0.0024653051443769
"Lip2" 0.220162689883908 0.229440872995772 0.26605689672878 0.408649539892726 0.544891515428005 0.644277722925681 0.222525689387452 0.215635928900656 0.10836463499191
